epoch,loss,train_accuracy,validation_accuracy,learning_rate
1,4.51576566696167,0.06714243441820145,0.2888016402721405,0.005
2,2.8141279220581055,0.3567587733268738,0.23329640924930573,0.005
3,2.3504550457000732,0.4573404788970947,0.2509480118751526,0.005
4,2.209237813949585,0.4962558150291443,0.37122049927711487,0.005
5,2.0043835639953613,0.5509616136550903,0.3565220236778259,0.005
6,1.8962035179138184,0.5786169171333313,0.2568877935409546,0.005
7,1.8598395586013794,0.5790897011756897,0.2620893120765686,0.005
8,1.795080542564392,0.58964604139328,0.34954190254211426,0.005
9,1.7217880487442017,0.6082515120506287,0.4515252113342285,0.005
10,1.6984057426452637,0.6124080419540405,0.4595791697502136,0.005
11,1.678922414779663,0.6152780055999756,0.45702874660491943,0.005
12,1.647420883178711,0.624151885509491,0.41024863719940186,0.005
13,1.6182656288146973,0.6324210166931152,0.3428638279438019,0.005
14,1.5945204496383667,0.637963056564331,0.3092385530471802,0.005
15,1.5849854946136475,0.639722466468811,0.3078291118144989,0.005
16,1.569144606590271,0.644076943397522,0.3433336615562439,0.005
17,1.5466686487197876,0.6453414559364319,0.4011208117008209,0.005
18,1.5343115329742432,0.6495969891548157,0.44340410828590393,0.005
19,1.528951644897461,0.6514223217964172,0.4572300910949707,0.005
20,1.511422872543335,0.6543912887573242,0.45635756850242615,0.005
21,1.4989476203918457,0.6590756773948669,0.444679319858551,0.0025
22,1.4955576658248901,0.6598123908042908,0.44907546043395996,0.0025
23,1.4845167398452759,0.6638479828834534,0.455854207277298,0.0025
24,1.4832713603973389,0.662902295589447,0.4677673578262329,0.0025
25,1.4787883758544922,0.6644307971000671,0.4849826991558075,0.0025
26,1.4776663780212402,0.663155198097229,0.5128024220466614,0.0025
27,1.4695453643798828,0.666575014591217,0.5445820093154907,0.0025
28,1.4628269672393799,0.6667949557304382,0.5728044509887695,0.0025
29,1.459611415863037,0.668587327003479,0.5908252000808716,0.0025
30,1.4571424722671509,0.6690601706504822,0.6041813492774963,0.0025
