epoch,loss,train_accuracy,validation_accuracy,learning_rate
1,4.304305553436279,0.02551104500889778,0.3120574355125427,0.005
2,2.952147960662842,0.3571326434612274,0.3566562533378601,0.005
3,2.643078565597534,0.41063985228538513,0.32856807112693787,0.005
4,2.3066792488098145,0.4882946014404297,0.4916943311691284,0.005
5,2.103396415710449,0.5281116366386414,0.4964931607246399,0.005
6,1.981659173965454,0.5403943061828613,0.5409913063049316,0.005
7,1.8673760890960693,0.5573063492774963,0.5596832036972046,0.005
8,1.792364239692688,0.5728439092636108,0.547199547290802,0.005
9,1.7425318956375122,0.5872928500175476,0.5621665120124817,0.005
10,1.6972862482070923,0.6029073596000671,0.5850867033004761,0.005
11,1.658313274383545,0.6149261593818665,0.6015638113021851,0.005
12,1.630171775817871,0.6238110065460205,0.6149199604988098,0.005
13,1.6050082445144653,0.6249656081199646,0.6223362684249878,0.005
14,1.5804429054260254,0.6292760968208313,0.6217993497848511,0.005
15,1.5582568645477295,0.633256733417511,0.6121010780334473,0.005
16,1.5394628047943115,0.636808454990387,0.6082754135131836,0.005
17,1.525758981704712,0.6420536041259766,0.614181637763977,0.005
18,1.5041120052337646,0.6473647356033325,0.6185106635093689,0.005
19,1.4916727542877197,0.652708888053894,0.6170340776443481,0.005
20,1.4762661457061768,0.6555569171905518,0.6184099912643433,0.005
21,1.4636788368225098,0.6571293473243713,0.6226047873497009,0.005
22,1.4485719203948975,0.6612089276313782,0.627873420715332,0.005
23,1.4362820386886597,0.6622755527496338,0.6298868656158447,0.005
24,1.429002285003662,0.6639689207077026,0.63287353515625,0.005
25,1.4171754121780396,0.664540708065033,0.6381421685218811,0.005
26,1.4058576822280884,0.6694890260696411,0.6410617828369141,0.005
27,1.4009220600128174,0.6723480224609375,0.6446860432624817,0.005
28,1.393869400024414,0.673392653465271,0.6477062702178955,0.005
29,1.3853662014007568,0.6766474843025208,0.6524044275283813,0.005
30,1.375953197479248,0.677824079990387,0.6576730608940125,0.005
31,1.3664933443069458,0.680869996547699,0.6636799573898315,0.005
32,1.3602451086044312,0.6813868284225464,0.6694519519805908,0.005
33,1.3548345565795898,0.6847516298294067,0.6725057363510132,0.005
34,1.349528193473816,0.684289813041687,0.6754253506660461,0.005
35,1.34055757522583,0.6878855228424072,0.6777072548866272,0.005
36,1.3357517719268799,0.6881934404373169,0.6809288859367371,0.005
37,1.3289856910705566,0.6918991208076477,0.6843182444572449,0.005
38,1.3259001970291138,0.6913493275642395,0.6877747178077698,0.005
39,1.3206499814987183,0.6936365365982056,0.6915332674980164,0.005
40,1.3132261037826538,0.6938014626502991,0.69478839635849,0.005
41,1.310929775238037,0.6953518986701965,0.6958622336387634,0.005
42,1.3062955141067505,0.6957477927207947,0.6964327096939087,0.005
43,1.3015087842941284,0.6981339454650879,0.6957951188087463,0.005
44,1.2954729795455933,0.6997503638267517,0.695895791053772,0.005
45,1.2916302680969238,0.7011029124259949,0.6976408362388611,0.005
46,1.2862505912780762,0.7028952836990356,0.6985468864440918,0.005
47,1.2846851348876953,0.7031481862068176,0.7002919316291809,0.005
48,1.2807559967041016,0.7045776844024658,0.7020034193992615,0.005
49,1.2734806537628174,0.7074916362762451,0.7025067806243896,0.005
50,1.2718567848205566,0.706260085105896,0.7026410102844238,0.005
51,1.2677556276321411,0.7087342143058777,0.7020034193992615,0.005
52,1.26565420627594,0.7094489932060242,0.7025067806243896,0.005
53,1.2606875896453857,0.7096359133720398,0.7020034193992615,0.005
54,1.257724404335022,0.7103506326675415,0.7017013430595398,0.005
55,1.254510521888733,0.7114172577857971,0.7010637521743774,0.005
56,1.2523868083953857,0.7120440602302551,0.7021376490592957,0.005
57,1.2463390827178955,0.7119560837745667,0.7042853236198425,0.005
58,1.2451472282409668,0.714562177658081,0.704251766204834,0.005
59,1.239180326461792,0.7151339650154114,0.7045873999595642,0.005
60,1.2383601665496826,0.716574490070343,0.7040839791297913,0.005
61,1.2336394786834717,0.7174541354179382,0.7043859958648682,0.005
62,1.2315495014190674,0.717333197593689,0.7051578760147095,0.005
63,1.2278121709823608,0.7182788848876953,0.7053927779197693,0.005
64,1.2250901460647583,0.7204890847206116,0.7053592205047607,0.005
65,1.2239255905151367,0.7205440998077393,0.7060639262199402,0.005
66,1.220055341720581,0.7218745946884155,0.7054934501647949,0.005
67,1.2162411212921143,0.7238539457321167,0.7053927779197693,0.005
68,1.2168227434158325,0.7216436862945557,0.7052249908447266,0.005
69,1.2108216285705566,0.7250415086746216,0.7050907611846924,0.005
70,1.2083017826080322,0.7246566414833069,0.7060974836349487,0.005
71,1.2051239013671875,0.7251404523849487,0.7074398398399353,0.005
72,1.203155279159546,0.7264819741249084,0.7096210718154907,0.005
73,1.2003278732299805,0.7281314134597778,0.7098895907402039,0.005
74,1.1988613605499268,0.7274386286735535,0.7073727250099182,0.005
75,1.1946699619293213,0.7291760444641113,0.7063995003700256,0.005
76,1.1904826164245605,0.7297588586807251,0.7084465622901917,0.005
77,1.1905394792556763,0.7285932302474976,0.7102251648902893,0.005
78,1.1855170726776123,0.7312983274459839,0.7100573778152466,0.005
79,1.183587908744812,0.7321889996528625,0.7093861699104309,0.005
80,1.1825861930847168,0.7313862442970276,0.7105607390403748,0.005
81,1.1772541999816895,0.7319690585136414,0.7108627557754517,0.005
82,1.1773955821990967,0.7336404919624329,0.7101244926452637,0.005
83,1.1751394271850586,0.733662486076355,0.7095539569854736,0.005
84,1.172524333000183,0.7338494062423706,0.7097553610801697,0.005
85,1.1704351902008057,0.7371812462806702,0.7095203995704651,0.005
86,1.167108178138733,0.7358397245407104,0.7095539569854736,0.005
87,1.1639440059661865,0.7381928563117981,0.709084153175354,0.005
88,1.1622822284698486,0.736961305141449,0.7091848254203796,0.005
89,1.1590496301651,0.7397213578224182,0.7075405120849609,0.005
90,1.1579047441482544,0.737335205078125,0.7070035338401794,0.005
91,1.1573445796966553,0.7389186024665833,0.7017013430595398,0.005
92,1.1543023586273193,0.7407879829406738,0.7034463882446289,0.0025
93,1.1585602760314941,0.7394354343414307,0.7080774307250977,0.0025
94,1.1510909795761108,0.740710973739624,0.7050572037696838,0.0025
95,1.1543738842010498,0.7384898066520691,0.7100909352302551,0.0025
96,1.1477737426757812,0.7404251098632812,0.7112318873405457,0.0025
97,1.1502643823623657,0.7413597702980042,0.7119030356407166,0.0025
98,1.1427608728408813,0.7437459230422974,0.7103593945503235,0.0025
99,1.1479713916778564,0.7413927316665649,0.7128762602806091,0.0025
100,1.1417810916900635,0.743427038192749,0.715158224105835,0.0025
101,1.1430622339248657,0.7427672743797302,0.7154266834259033,0.0025
102,1.1380066871643066,0.7451314330101013,0.716701865196228,0.0025
